"","B.cell","T.cell.CD4.","T.cell.CD8.","Neutrophil","Macrophage","Dendritic.cell"
"MB.0434",0.0140225366135542,0.0533750017128204,0,0.0681656602519362,0,0.322403811839565
"MB.0371",0.014796631675743,0.152521331559148,0.0944576022617502,0.161073408174736,0.102934899556967,0.548086860363795
"MB.0389",0.168870296441447,0.179856096014666,0.101001809368498,0.175787348644329,0.0916786838137768,0.568937814780952
"MB.0895",0.0761755980472111,0.184417266534485,0.12582686211062,0.151427226439422,0.0118623171390696,0.553539002415379
"MB.0165",0.124762555728662,0.275999333411428,0.147670251161119,0.1542969825572,0.0608166036161148,0.63316333114172
"MB.0589",0.0171299136003883,0.124227135407237,0.0951493314572842,0.102954104360919,0.0431836049025568,0.426648312037034
"MB.0373",0.0528183003859,0.202095344091903,0.0568821021718999,0.130314408860939,0.0609017679583977,0.526945895894126
"MB.0225",0.0480252634816599,0.036601754706254,0.0985865084378159,0.041177515796886,0.0849048660659148,0.225909924721839
"MB.0236",0.0829620102464215,0.154980968921427,0.154478334533208,0.139696981379234,0.0593062819282275,0.527615707745684
"MB.0662",0.126452947060434,0.277950698073632,0.143908457029721,0.207301376772833,0.0364894587210096,0.663346599642632
"MB.0291",0.0254697758769946,0.107230407426099,0.104889177235864,0.121116706228053,0.103449907996251,0.502723052501963
"MB.0465",0.00350095299029376,0.0856906158348881,0.0920828645969423,0.125856073238293,0.0440173759491037,0.410965212489203
"MB.0630",0,0.0240204368895835,0,0.0417932859896594,0,0.18021047895604
"MB.0307",0.168797896129683,0.278095085831682,0.252694905688029,0.252002417894089,0.0557157891420837,0.769511202664021
"MB.0120",0.103934187007089,0.151634122552798,0.145322065692505,0.155848376879935,0.0297477014316626,0.556732810644977
"MB.4688",0.0730544676495128,0.175509670929609,0.155858546377254,0.143002275197724,0,0.541716779631071
"MB.4729",0.0469872395252586,0.109649151182511,0.0457575888877532,0.0251686055768891,0,0.17146969350892
"MB.4796",0.0317008850728761,0.0617554051451662,0.0533507344250573,0.0740169171734009,0,0.326459831938952
"MB.5212",0.0685865875900311,0.162124672029787,0.177384652628257,0.112375545955837,0.00285689970866004,0.542350081659108
"MB.4908",0.0243887161656355,0.0800223688276237,0.0708737104979016,0.0864544207708343,0.0116321619015849,0.325541699072507
"MB.4858",0.0992127592831711,0.135022623120003,0.0886771802837394,0.093780032755685,0.0425822645494874,0.375082357993594
"MB.4930",0.0596172972922566,0.152679635662696,0.00704465440049129,0.0753510115205807,0.0120584687514832,0.356806404069867
"MB.5238",0.124079129272272,0.256291683562582,0.115965906277512,0.146612003974675,0.0421969376155056,0.519696654302946
"MB.4644",0.0184648284041482,0.0323002600318546,0,0.0137547506335368,0,0.0970852888929358
"MB.4878",0.0720942238924832,0.124878385304836,0.0475962025740243,0.0965930937356286,0.0353134571106031,0.353808865997122
"MB.5195",0.0913371932545258,0.219013197100053,0.11593708242909,0.124103482236033,0.0548760976044465,0.548281295946866
"MB.5266",0.032642752866636,0.0988024907388235,0.0737913824929577,0.0688594935161672,0,0.301034320341319
"MB.5078",0.0745125246437251,0.147198323801917,0.0724869274815757,0.108734781358746,0.0261884574167883,0.442532283831786
"MB.4276",0.0198854046630496,0.156977576685231,0.0551275857941018,0.10204491227591,0.00177853489229045,0.409086938747485
"MB.5331",0.055319583714172,0.111839976170867,0.0130699578085455,0.0468553944060761,0.0085310588046369,0.286852957085449
"MB.5147",0.0748273823824984,0.166060882693117,0.118867401125894,0.161374510436716,0.109224464854946,0.536656923680998
"MB.5062",0.145256817283157,0.203962473279505,0.0939233401330961,0.151846516161663,0.080221173986832,0.608709605556659
"MB.5414",0.0490650389067437,0.13372386513151,0.0913657687332435,0.114704222752326,0,0.457637959527867
"MB.4289",0.00204087317222829,0.0423338756348841,0,0.00177054775496369,0.00603123319970322,0.0913116033126965
"MB.5418",0.0351537864064479,0.143934942542009,0.0287823652864148,0.0834140576435889,0.0308926765125097,0.324777873429022
"MB.5292",0.0225572318837764,0.0962317727270621,0,0.0794565528407337,0.0276199465348239,0.319278222817547
"MB.5166",0.056689948895603,0.11901537462738,0.123762172594638,0.08046905541281,0.00375823966364411,0.373989521696665
"MB.5540",0.0796416900858967,0.162864430858428,0.12807002575963,0.139877917919203,0.00901132351428073,0.552949317202674
"MB.5459",0.0345698071168672,0.0370445625070417,0.0316005206874478,0.0227426629705243,0,0.218664616348322
"MB.3361",0.0711756053248923,0.134407726385618,0.044602260662278,0.090071774766659,0.0417097143787517,0.38517703860858
"MB.3360",0.0019437105405935,0.136358983126157,0.071796801659814,0.0692030980055127,0.065061290886725,0.39693912635094
"MB.3272",0.0624564600442365,0.126700184191923,0.172621398508955,0.116896889487569,0.0837275495901754,0.45584741562566
"MB.3235",0.0836885572377366,0.183749344336342,0.12400858417772,0.118311916601327,0.079077483999363,0.548023733647226
"MB.3488",0.0599440818905004,0.145256487174561,0.103806613306339,0.10154911746257,0,0.441659286704777
"MB.2983",0.0276783348477269,0.10737272278272,0.0109032411975932,0.0845377631244345,0.0419353187466553,0.342653588876619
"MB.2994",0.036012030233307,0.191476867529005,0.121864724624362,0.127250155399443,0,0.540239535581323
"MB.2984",0.0576118145392154,0.164479731575668,0.0677786853239139,0.131446842071095,0.0510667745782525,0.462780219643836
"MB.3382",0.0704533320903076,0.140494112387182,0.166452936512448,0.156121186077809,0.111443849351012,0.625046697658008
"MB.3379",0.0229816331396986,0.101993086823336,0.048885984901362,0.0988393186854855,0.0952442285387323,0.403266132807039
"MB.3103",0.0659574868152121,0.142614233567202,0.118948901736438,0.112913437491996,0.0506838156776608,0.508905076169919
"MB.3104",0.0201929706159533,0.0848316418462851,0.0161010825593147,0.031588387575384,0,0.191255928015229
"MB.2786",0.0296780538341075,0.130916585788314,0.107277934474104,0.122876433168748,0.0599645450726366,0.475848221718844
"MB.3850",0.0425287399392582,0.11392677283654,0.131282157948454,0.147568000877011,0.120912748661825,0.537087903382658
"MB.3852",0.127552173985152,0.233196986678903,0.26847893342012,0.199679709888006,0.0425545603074631,0.729762303911089
"MB.3028",0.156413204551554,0.208956328694431,0.196374142241916,0.191215137800868,0.0597253415481186,0.683878989390029
"MB.0048",0.0988644495952761,0.184390197762848,0.349859723323277,0.210700263040683,0.0914358981874158,0.720057131391473
"MB.4626",0.0298917109345893,0.14499814136656,0.078754664689276,0.0459075178780681,0,0.195046646926258
"MB.4725",0.0935860616641339,0.237361762541269,0.183250663828545,0.160543102394343,0.0632796233122672,0.606635753073035
"MB.7068",0.0985701693413527,0.22791092525284,0.24301980949534,0.197209222551471,0.0395938530349318,0.694089880808338
"MB.2939",0.0200416803768066,0.0988568340053934,0.0900238485554518,0.123680771011768,0.097918298441814,0.503112720569482
"MB.7001",0.0837472136205278,0.157038625695092,0.175662552790293,0.163578161733392,0.0792583793639197,0.623878343417423
"MB.7088",0.185232302196158,0.200017734134705,0.202219094441696,0.172513601766127,0.0724939920989821,0.672206406262843
"MB.7115",0.0342850448304699,0.0743222076353331,0.0101024841640044,0.0821484080430049,0,0.296941274841754
"MB.7128",0.0421551072814194,0.111758029572352,0.184176671587199,0.13951842108271,0.0876918459607855,0.509970496482879
"MB.3031",0.151444456619804,0.32968632801227,0.241904001103666,0.220522345024325,0.0446478851387891,0.884047749681249
"MB.2823",0.0755384654785163,0.27907013600946,0.206108050455554,0.169485807845085,0.0322633768608421,0.723729112673043
"MB.7287",0.115064415009758,0.175660692240024,0.0870901901025935,0.145343439672137,0.0767734513516563,0.581471639112673
"MB.7260",0,0.111047024745604,0.0118646294057852,0.0869541882214399,0.017474340512546,0.294298888105192
"MB.7046",0.0287871091950361,0.0265703972634151,0,0.0296153032703061,0,0.104055059449152
"MB.2626",0.0255074430043626,0.0994740224262474,0.168087349326253,0.133395880753609,0.0992811080274857,0.52309419857198
"MB.6157",0.145574655274474,0.231023286372597,0.200944894154301,0.179838649624442,0.0706311157699687,0.669658285593286
"MB.6105",0.0902044209930134,0.230177888615199,0.175806255132369,0.175860490181121,0.0681876225967079,0.618203764198405
"MB.5186",0.128640725591894,0.213820599976283,0.145537929704378,0.131094355871482,0.0123512299734422,0.472338719750552
"MB.4846",0.109348528306544,0.261721838969256,0.19438467966935,0.168723340570055,0.0336287131140533,0.641981849086051
"MB.5039",0.0781978695875911,0.160918019669092,0.11658948731938,0.118076097783912,0,0.415084002838795
"MB.5174",0.0362211299378734,0.133153724913551,0,0.0646957709434146,0.023026346092438,0.295338746143769
"MB.6082",0.0641811927976893,0.208710428184992,0.179950595528388,0.124331694216409,0.0450728095994635,0.519826598737683
"MB.5420",0.207262035976983,0.318517624884119,0.146347296910496,0.159627536627657,0.0396409441737787,0.623789836695234
"MB.6049",0.0430758497152073,0.133684298044342,0.0867186502276669,0.113178673686939,0.0697659680080525,0.471542134409371
"MB.6113",0.0366297877425948,0.125367219268113,0.0528148753868497,0.115230642741767,0.0695691091914048,0.420707301798001
"MB.6114",0.112681792285092,0.206606266267288,0.173776850550436,0.133942595730343,0.0562685637021538,0.553235132866858
"MB.6334",0.00750297716121116,0.10370134120453,0,0.0576795640218049,0,0.286790757544795
"MB.4270",0.260085870019823,0.413464815911544,0.097295155250131,0.150372697013255,0,0.595642246295404
"MB.6048",0.167933420433685,0.310279015432149,0.19328192054841,0.180470842269577,0.0482998294889768,0.724367275406924
"MB.6116",0.109348767196633,0.264470944889142,0.239500763524888,0.212425702895103,0.0738895481626773,0.721303109089617
"MB.4317",0.0642124117917517,0.258399115000813,0.0419866238331686,0.094982846541631,0,0.398038964403771
"MB.4348",0.0344595950664287,0.104059074868399,0.0626747091457402,0.0263699285170898,0,0.235279684121835
"MB.6314",0.0262023217850024,0.0936385858637065,0.0448914010495864,0.0849427989980356,0.00586362085079152,0.364601303099551
"MB.5164",0.237960392276343,0.288421718777723,0.11355890910703,0.168862678962531,0.025183624767472,0.628060588232163
"MB.0381",0.0369261967972164,0.0965259321278417,0,0.0963869105981442,0.0183336902803124,0.350055102736547
"MB.5332",0.0772992731516108,0.142052134108742,0.0274214486224415,0.120381317741625,0.0129501954344259,0.444510002860648
"MB.7050",0.0393739682506993,0.0634041932880739,0.0100459982073547,0.0466712055888518,0,0.18208883702072
"MB.0388",0.195872717495302,0.30466004510763,0.213374117214095,0.182074728275422,0.0680220004445789,0.709774401681837
"MB.0553",0.0288701469095071,0.0515436533799415,0.0513776100130358,0.0783225865701468,0.0236877920387181,0.28617812342171
"MB.7296",0.00393153701965321,0.129407667391711,0.0909488329670341,0.105779852277491,0.0528906834554948,0.379151933684808
"MB.5628",0.323173162462157,0.351609490790627,0.149242662342533,0.178086707444593,0.00941721377749039,0.630680221441986
"MB.0288",0.0209192562442744,0.127403304023537,0.188710627218167,0.14075180304299,0.0985466462940389,0.5056114814497
"MB.0421",0.0371957338059002,0.0716536142508512,0.0639094790700244,0.115887070412518,0.0779704799201549,0.441030574902545
"MB.0046",0.0273662122379434,0.0672670042163162,0.0314658546107172,0.0726174078433415,0.0100279447239324,0.278965807866599
"MB.0130",0.0531921180867256,0.159371883471077,0.0706792465959507,0.113656772293405,0.0365546180175997,0.425916807263947
"MB.0484",0.0309425083973619,0.0951572570696502,0.0448443168507378,0.0636929077149134,0.0903124167579851,0.293410126406734
"MB.0552",0.0677211151896124,0.164933556995975,0.26576149009947,0.199653588509255,0.0586507456884461,0.696915839717688
"MB.0365",0.115358233213859,0.297265411304732,0.283170399486972,0.283047041567724,0.155586211017221,1.00306518781539
"MB.0652",0.0452018937618478,0.168287489319152,0.15149008185051,0.179783304642424,0.13543252912067,0.59374708570536
